epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,7843.93,0.28264,0.33932,0.17343,0.78069,0.99954,0.99654,0.995,0.97838,0.99947,0.99648,0.99499,0.86937,0.23748,0.34041,0.13969,0.77056,0.0002774,0.0002774,0.0002774
89,7934.05,0.28137,0.33395,0.17299,0.77908,0.99967,0.99654,0.995,0.97874,0.9996,0.99647,0.99499,0.86907,0.23744,0.33494,0.13865,0.77051,0.0002576,0.0002576,0.0002576
90,8024.75,0.28147,0.33542,0.17295,0.77972,0.99979,0.99645,0.995,0.97898,0.99972,0.99639,0.99499,0.86778,0.23554,0.3341,0.13792,0.7701,0.0002378,0.0002378,0.0002378
91,8079.25,0.26835,0.34629,0.16859,0.7735,0.99954,0.99663,0.995,0.97738,0.99947,0.99656,0.99499,0.86856,0.24172,0.33916,0.14403,0.77031,0.000218,0.000218,0.000218
92,8129.35,0.26709,0.34214,0.16686,0.77356,0.99967,0.9967,0.995,0.97798,0.9996,0.99663,0.99499,0.86839,0.23997,0.33381,0.1422,0.77035,0.0001982,0.0001982,0.0001982
93,8179.14,0.26321,0.33744,0.16258,0.77355,0.99974,0.99672,0.995,0.97798,0.99968,0.99665,0.99499,0.86884,0.2398,0.33597,0.14133,0.77022,0.0001784,0.0001784,0.0001784
94,8228.64,0.26443,0.33702,0.16334,0.77404,0.99967,0.99668,0.995,0.9778,0.9996,0.99661,0.99499,0.86806,0.23889,0.3354,0.13935,0.77025,0.0001586,0.0001586,0.0001586
95,8278.32,0.26309,0.33729,0.16149,0.77355,0.99975,0.99632,0.995,0.9777,0.99969,0.99626,0.99499,0.87081,0.23997,0.33498,0.13897,0.77037,0.0001388,0.0001388,0.0001388
96,8327.85,0.26438,0.33675,0.16292,0.77473,0.99957,0.99672,0.995,0.97837,0.99951,0.99665,0.99499,0.86961,0.23862,0.33562,0.13902,0.77006,0.000119,0.000119,0.000119
97,8377.55,0.26093,0.33281,0.15901,0.77423,0.9996,0.99661,0.995,0.97885,0.99954,0.99655,0.99499,0.86716,0.23666,0.33191,0.13724,0.77005,9.92e-05,9.92e-05,9.92e-05
98,8427.45,0.25846,0.33276,0.15712,0.77377,0.99952,0.99665,0.995,0.97884,0.99946,0.99659,0.99499,0.86952,0.23654,0.33196,0.13651,0.77008,7.94e-05,7.94e-05,7.94e-05
99,8477.15,0.2561,0.32926,0.15478,0.77264,0.99951,0.99672,0.995,0.97896,0.99945,0.99665,0.99499,0.86757,0.23557,0.3315,0.136,0.76991,5.96e-05,5.96e-05,5.96e-05
100,8526.76,0.26036,0.33229,0.1578,0.77269,0.99961,0.99672,0.995,0.97861,0.99955,0.99665,0.99499,0.86904,0.23672,0.33262,0.13624,0.77006,3.98e-05,3.98e-05,3.98e-05
